	controlA	controlB	thrombinA	thrombinB	thrombinC
ATN1	5516	5120	5001	4537	4786
C12orf57	517	589	744	753	686
PTPN6	1	3	4	2	6
MIR200C	0	0	0	0	0
MIR141	0	0	0	0	0
EMG1	359	405	565	481	558
C1S	75	77	104	77	83
C1RL-AS1	141	134	111	99	84
CLSTN3	761	769	793	742	795
PEX5	556	575	799	711	743
ACSM4	16	20	4	7	6
DPPA3	1	0	0	0	2
NANOGNB	0	0	0	0	0
NANOG	0	0	0	0	0
FOXJ2	481	484	533	445	549
NECAP1	485	461	519	455	571
CLEC4A	10	4	3	1	1
ZNF705A	1	2	0	1	0
FAM66C	27	22	15	14	12
LOC101927905	16	11	9	4	13
CLEC6A	0	0	0	0	0
CLEC4D	0	0	0	0	0
RIMKLB	1699	1664	821	652	783
A2ML1	1	1	0	0	0
PHC1	1658	1659	1743	1364	1657
KLRG1	8	6	7	5	6
A2M-AS1	31	46	62	34	55
LINC00987	2	2	0	1	1
LOC642846	61	45	9	15	14
LOC101930452	5	4	8	3	3
LOC374443	60	63	75	40	53
CLEC2D	85	80	14	13	15
KLRF1	0	1	0	3	0
KLRF2	0	0	0	0	0
CLEC12A	0	0	0	0	0
CLEC12B	11	10	7	1	3
CLEC9A	9	13	12	4	6
TMEM52B	0	0	0	0	0
GABARAPL1	2053	2042	2158	1733	2041
KLRD1	3	1	0	1	2
LOC101928100	4	3	2	1	2
LOC101928162	0	0	0	0	0
PRH2	1	2	1	1	0
LOC100129361	340	378	305	271	336
LINC01252	18	19	3	4	7
ETV6	852	906	794	752	749
BCL2L14	0	0	1	0	0
MIR1244-3	0	0	0	0	0
LOH12CR1	50	53	66	50	65
CREBL2	685	727	654	546	691
CDKN1B	565	521	426	392	436
APOLD1	615	571	423	325	389
MIR613	0	0	0	0	0
DDX47	991	1046	960	781	964
RPL13AP20	13	11	7	10	4
GPRC5A	435	427	303	269	313
MIR614	19	15	5	5	6
LOC100506314	106	105	68	66	69
HTR7P1	111	99	108	95	116
KIAA1467	253	291	300	258	314
EMP1	10070	10143	10598	8696	10337
ATF7IP	2296	2171	1238	973	1156
LOC101928290	0	0	0	0	0
H2AFJ	441	494	569	546	564
C12orf60	33	33	12	14	6
PDE6H	0	1	0	0	0
LOC101928340	0	0	0	0	0
RERG-AS1	0	0	0	0	0
PTPRO	0	3	2	1	0
STRAP	2937	2966	2988	2464	2949
DERA	479	473	493	399	520
MGST1	1117	1195	1052	855	1086
SKP1P2	0	0	0	0	0
MIR3974	0	0	0	0	0
PIK3C2G	2	1	0	1	0
CAPZA3	0	0	0	0	0
PLEKHA5	227	236	99	63	70
AEBP2	427	402	312	267	387
LOC100506393	0	0	0	1	0
PDE3A	158	168	100	92	131
SLCO1C1	0	1	1	0	0
SLCO1B3	0	0	0	0	0
SLCO1B7	0	0	0	0	0
SLCO1B1	0	0	0	0	0
IAPP	0	1	0	1	0
PYROXD1	832	782	271	236	279
GOLT1B	1104	1104	820	635	801
SPX	0	1	1	1	0
CMAS	840	845	781	668	735
ETNK1	923	996	415	345	412
LOC101928441	0	0	1	0	0
MIR920	0	0	0	0	0
LOC101928471	0	0	0	0	0
LRMP	1	0	0	0	0
LYRM5	94	95	65	49	70
RASSF8	1710	1784	851	674	842
SSPN	23	27	22	19	19
FGFR1OP2	592	576	308	277	319
MED21	558	632	446	319	391
STK38L	605	662	360	327	355
ARNTL2	1190	1148	1245	1013	1166
SMCO2	7	4	6	2	2
PPFIBP1	3492	3455	2644	2220	2574
REP15	37	31	15	18	20
MRPS35	675	707	641	524	585
KLHL42	1021	1010	591	597	655
CCDC91	180	171	62	46	62
FAR2	891	849	721	549	690
OVCH1-AS1	1	0	0	0	0
LINC00941	52	44	58	39	50
TSPAN11	414	418	476	432	437
DDX11	388	332	236	216	249
FLJ13224	5	5	8	8	7
DENND5B-AS1	0	3	0	0	1
METTL20	34	31	28	22	34
KIAA1551	5341	5200	820	698	877
BICD1	348	340	237	184	222
FGD4	1008	935	361	273	334
DNM1L	2356	2300	1163	892	1083
ALG10	85	91	62	42	58
ALG10B	187	182	58	56	76
C12orf40	0	0	0	0	0
LRRK2	6	3	3	0	2
MUC19	1	0	1	0	0
CNTN1	1	0	1	0	0
PDZRN4	0	0	0	0	0
PPHLN1	858	882	751	580	725
IRAK4	473	474	290	226	322
TMEM117	30	36	26	18	12
ANO6	4363	4256	4868	3972	4794
ARID2	577	588	279	211	262
PCED1B	45	41	22	16	26
MIR4698	0	0	0	0	0
SLC48A1	317	333	321	292	353
TMEM106C	455	483	554	480	550
PFKM	1537	1643	1575	1389	1571
MIR6505	0	0	0	0	0
CCDC184	1	2	3	3	2
H1FNT	0	0	0	0	0
ANP32D	0	0	0	0	0
C12orf54	0	0	0	0	0
OR8S1	0	0	0	0	0
LINC00935	0	0	0	0	0
LOC100506125	2	0	0	0	0
CACNB3	1101	1157	1210	1055	1093
CCDC65	33	34	11	8	13
WNT1	0	1	0	0	0
TUBA1C	8096	8259	9948	8879	9571
PRPH	2	1	1	1	0
TROAP	395	386	280	216	274
DNAJC22	21	21	20	13	16
SPATS2	1653	1698	1503	1245	1458
LOC100335030	5	3	2	1	4
KCNH3	6	4	2	3	1
PRPF40B	941	969	1021	922	990
TMBIM6	12019	12235	15921	13056	15463
BCDIN3D-AS1	50	77	45	45	56
LOC101927292	0	0	0	0	0
AQP2	0	0	0	0	0
AQP5	1	1	0	1	0
AQP6	1	0	1	0	1
ASIC1	15	15	23	8	17
SMARCD1	1942	1875	2237	1936	2203
GPD1	0	1	0	0	1
COX14	323	311	406	350	398
LARP4	1814	1833	703	510	690
DIP2B	1677	1783	1755	1398	1755
ATF1	250	266	159	142	142
TMPRSS12	0	0	0	0	0
METTL7A	108	153	69	56	76
HIGD1C	0	0	0	0	0
LETMD1	384	424	306	282	318
DAZAP2	3990	3862	4354	3699	4354
SLC4A8	471	423	318	262	321
SCN8A	35	27	16	11	14
ANKRD33	20	28	14	12	24
ACVRL1	9812	9692	12541	11245	12104
ACVR1B	535	548	699	587	683
GRASP	1086	1121	1227	1202	1174
NR4A1	30	24	177	139	142
ATG101	716	787	1060	1048	1011
OR7E47P	0	0	1	0	0
LINC00592	2	2	1	3	0
KRT7	1592	1552	1693	1485	1563
KRT86	0	0	0	0	0
KRT18	2582	2543	2165	2030	2075
EIF4B	7225	6791	5979	5086	6110
TENC1	1028	1000	580	494	493
MIR6757	0	0	0	2	1
IGFBP6	51	70	62	65	68
SOAT2	0	1	0	0	0
ZNF740	601	620	625	552	657
MFSD5	565	661	857	717	809
ESPL1	529	573	520	483	520
PFDN5	2373	2368	2465	2318	2542
C12orf10	394	379	414	379	431
SP1	1860	1864	1559	1324	1662
AMHR2	0	0	0	0	0
PRR13	1822	1780	2006	1674	1981
PCBP2	8894	8816	9856	8435	9770
PCBP2-OT1	0	0	0	0	1
TARBP2	502	528	588	520	560
LOC100652999	629	649	711	520	656
HOXC13	0	0	0	0	0
HOXC12	0	0	0	0	0
HOXC11	0	0	0	0	0
HOXC10	0	0	0	0	0
MIR196A2	0	0	0	0	0
HOXC9	3	1	1	1	1
HOXC8	0	0	0	0	0
HOXC6	0	1	0	0	0
HOXC5	0	0	0	0	0
HOXC4	0	0	0	0	0
MIR615	0	0	0	0	0
FLJ12825	1	0	1	2	2
LOC100240734	0	0	0	0	0
LOC400043	0	0	0	0	0
HNRNPA1	617	667	541	399	552
HNRNPA1P10	0	0	0	0	0
COPZ1	2412	2387	2699	2217	2772
MIR148B	0	0	0	0	0
LOC102724050	2671	2987	4637	4243	4472
NCKAP1L	0	1	0	2	3
PDE1B	0	0	0	0	0
MUCL1	0	0	0	0	0
NEUROD4	0	0	0	0	0
OR9K2	0	0	0	0	0
OR10A7	0	0	0	0	0
OR6C74	0	0	0	0	0
OR6C1	0	0	0	0	0
OR6C3	0	0	0	0	0
OR6C75	0	0	0	0	0
OR6C65	0	0	0	0	0
OR6C76	0	0	0	0	0
OR6C2	0	0	0	0	0
OR6C68	0	0	0	0	0
OR6C4	0	0	0	0	0
OR2AP1	0	0	0	0	0
OR10P1	0	0	0	0	0
METTL7B	0	1	1	0	0
BLOC1S1	94	123	150	114	152
BLOC1S1-RDH5	0	0	0	0	0
RDH5	2	2	2	0	0
GDF11	464	470	510	444	481
ORMDL2	513	524	608	591	643
TMEM198B	253	243	133	87	103
DGKA	597	601	476	450	525
CDK2	862	864	822	700	838
RAB5B	4041	4047	4683	3777	4622
SUOX	367	364	315	291	328
IKZF4	119	120	111	87	96
RPS26	4282	4101	5234	4390	5005
ERBB3	1	1	0	1	0
PA2G4	3688	3375	3748	3195	3620
RPL41	18820	17941	20709	18113	20344
ZC3H10	182	170	204	198	202
ESYT1	6394	6449	7659	6645	7430
MYL6B	872	851	1012	904	915
MYL6	24352	25065	33559	29796	33214
NABP2	492	433	497	440	508
SLC39A5	9	11	9	10	10
COQ10A	116	107	99	93	108
IL23A	14	15	10	15	14
SPRYD4	165	173	218	172	205
RBMS2	3961	3592	3149	2524	3084
HSD17B6	1	3	0	1	0
GPR182	1	0	0	1	1
NAB2	350	346	431	388	371
LRP1	167	182	260	235	260
MIR1228	0	0	0	0	0
NXPH4	2	1	1	3	0
SHMT2	1860	1967	2567	2259	2444
INHBC	0	1	0	0	0
INHBE	0	6	1	1	3
GLI1	4	5	1	2	3
MARS	2634	2671	3092	2725	3078
MIR6758	12	14	2	2	4
MBD6	1302	1249	1395	1185	1246
KIF5A	8	18	5	3	8
PIP4K2C	286	289	341	265	327
DTX3	252	281	204	185	206
ARHGEF25	37	47	32	27	32
SLC26A10	9	7	3	3	4
OS9	8183	7970	10043	8733	9365
AGAP2-AS1	322	322	453	411	443
TSPAN31	278	320	381	276	383
MARCH9	60	73	83	61	75
METTL21B	177	181	183	147	153
TSFM	363	354	455	382	370
XRCC6BP1	45	44	60	39	42
SLC16A7	121	108	32	29	33
USP15	1150	1133	369	309	334
MIR6125	0	0	0	0	0
MON2	814	801	387	266	323
MIRLET7I	1	0	0	0	3
TMEM5	280	318	209	198	231
SRGAP1	640	637	715	604	684
XPOT	2017	2005	1218	979	1166
TBK1	774	837	294	231	263
RASSF3	2445	2266	2094	1771	2045
TBC1D30	113	109	90	73	95
FLJ41278	0	0	0	1	0
LEMD3	549	527	496	372	463
MSRB3	1537	1550	1410	1112	1341
HMGA2	707	753	925	776	870
IRAK3	365	324	130	129	138
MIR6502	0	0	0	0	0
HELB	19	26	11	11	7
CAND1	2723	2863	1367	1128	1322
LOC100507175	0	0	0	0	0
DYRK2	198	205	170	145	170
LOC101927922	0	0	0	0	0
IFNG-AS1	0	0	0	0	0
RAP1B	4847	4798	4432	3458	4327
NUP107	919	905	456	379	474
SLC35E3	305	270	331	249	327
MDM2	4598	4616	1689	1322	1734
CPSF6	1893	1744	1588	1378	1539
LYZ	10	6	1	5	4
YEATS4	289	278	221	204	238
FRS2	355	335	206	152	162
MIR3913-2	0	0	0	0	0
CCT2	3774	3822	4151	3207	3909
RAB3IP	210	270	143	120	145
CNOT2	1205	1174	846	697	872
KCNMB4	72	66	45	37	53
LGR5	0	1	0	0	0
THAP2	169	126	82	49	70
TMEM19	562	632	502	390	492
RAB21	711	753	726	611	682
TBC1D15	675	694	319	230	294
TPH2	0	0	0	0	0
TRHDE	0	0	0	0	0
LOC101928137	40	39	7	4	13
ATXN7L3B	1672	1726	1978	1776	1989
GLIPR1L1	2	0	0	0	0
GLIPR1L2	6	3	4	4	0
GLIPR1	1747	1651	1389	1170	1346
ZDHHC17	554	491	163	133	183
NAV3	990	953	983	801	970
SYT1	354	347	181	141	174
MIR1252	0	0	0	0	0
MIR5692B	0	0	0	0	0
OTOGL	9	7	4	4	2
PTPRQ	1	0	0	0	0
MYF6	1	0	0	0	0
MYF5	0	0	0	0	0
LOC101928420	0	0	0	0	0
ACSS3	0	1	1	1	2
MIR4699	0	0	0	0	0
LOC102724663	0	0	0	0	0
LOC101928449	0	0	0	0	0
METTL25	103	87	79	52	65
TMTC2	199	218	199	145	182
LRRIQ1	15	10	2	3	1
ALX1	0	4	0	2	2
NTS	0	0	3	1	0
C12orf29	337	309	195	173	192
TMTC3	1423	1442	406	360	400
LINC00936	9	14	3	9	4
LINC00615	1	0	0	0	0
CLLU1	3	0	2	3	0
C12orf74	0	0	0	0	0
PLEKHG7	1	2	0	0	0
LOC102724933	0	0	0	0	0
NUDT4	10996	10830	4646	3762	4577
MRPL42	514	618	378	315	375
SOCS2	303	288	207	174	226
CRADD	125	136	125	102	106
PLXNC1	5	7	0	1	3
CEP83-AS1	6	2	5	4	4
MIR5700	0	0	0	0	0
MIR492	0	0	0	0	0
KRT19P2	0	0	0	0	0
VEZT	1973	1906	944	792	907
MIR331	1	1	0	0	0
MIR3685	1	5	1	1	0
METAP2	1942	1940	1136	944	995
PGAM1P5	25	26	8	7	9
SNRPF	716	696	653	568	608
AMDHD1	2	0	1	0	1
ELK3	961	918	765	672	728
NEDD1	706	678	343	314	369
RMST	0	0	0	0	0
MIR1251	0	0	0	0	0
MIR135A2	0	0	0	0	0
TMPO	1568	1502	981	898	999
SLC25A3	7808	7972	9407	7797	9312
SNORA53	2	4	4	3	2
APAF1	1150	1128	600	524	623
LOC101928937	0	0	0	0	0
FAM71C	0	0	0	0	0
MIR1827	0	0	0	0	0
ACTR6	249	274	203	123	159
SCYL2	1794	1875	788	673	767
SLC17A8	0	0	0	0	0
NR1H4	0	0	0	0	0
GAS2L3	570	570	275	231	269
ANO4	50	37	28	24	25
UTP20	978	956	486	359	438
SPIC	1	0	0	0	0
MYBPC1	1	0	0	0	0
CHPT1	377	382	466	364	462
DRAM1	1803	1755	2909	2440	2873
PARPBP	201	247	156	97	134
ASCL1	0	0	0	0	0
LOC101929084	0	0	0	0	0
STAB2	2	4	0	0	0
HSP90B1	30306	29079	19511	16017	19050
MIR3652	0	0	0	0	0
TDG	882	842	626	553	621
HCFC2	431	427	162	145	175
TXNRD1	22860	23423	25310	20677	24738
EID3	22	25	9	16	16
CHST11	659	578	953	770	849
MIR3922	0	0	0	0	0
C12orf45	91	89	107	92	131
KIAA1033	3000	2865	660	542	617
C12orf75	560	527	704	597	667
CASC18	5	8	4	4	4
TCP11L2	266	266	277	203	270
POLR3B	271	299	232	178	244
RFX4	0	1	0	0	0
RIC8B	322	345	227	196	232
TMEM263	1755	1858	1127	958	1157
BTBD11	95	113	179	146	150
PWP1	1887	1789	1722	1414	1684
LOC101929162	149	154	135	106	119
ASCL4	0	0	0	0	0
WSCD2	0	0	0	0	0
FICD	141	157	204	180	194
ISCU	1072	998	952	748	912
DAO	0	0	0	0	1
USP30	187	189	193	154	204
UNG	458	509	468	368	426
ACACB	54	67	40	44	36
MYO1H	7	4	2	3	0
UBE3B	915	952	1003	892	943
MVK	566	580	436	432	424
FAM222A	12	11	8	11	5
MIR4497	1	2	1	4	1
TCHP	528	476	369	389	343
ANKRD13A	877	834	908	783	870
IFT81	162	179	56	46	60
ATP2A2	6264	6501	8537	7225	8346
FAM216A	73	78	57	48	47
RAD9B	6	8	7	10	7
TCTN1	392	365	459	339	417
CCDC63	0	0	1	0	0
LOC100131138	0	0	0	0	0
CUX2	2	1	0	0	2
MIR6760	0	0	0	0	0
SH2B3	4419	4377	5088	4116	4640
ACAD10	208	201	188	184	187
ALDH2	2275	2293	2825	2564	2825
MIR6761	0	0	0	0	0
MAPKAPK5	510	474	585	427	524
ADAM1A	69	61	20	26	14
ERP29	1870	1832	1919	1743	1953
TRAFD1	760	735	849	764	766
PTPN11	3739	3643	2053	1639	1964
RPH3A	2	0	0	0	0
OAS1	516	536	520	404	459
OAS3	2295	2324	3091	2645	2888
OAS2	2165	2216	2389	2034	2352
DTX1	1	1	1	1	1
CCDC42B	257	222	294	264	247
RITA1	315	305	396	303	336
TPCN1	588	617	689	600	667
MIR6762	0	0	0	0	0
PLBD2	2542	2574	3545	3163	3417
SDSL	106	107	110	108	107
TBX5-AS1	0	0	0	0	0
LINC00173	1	2	0	0	0
MAP1LC3B2	28	37	25	31	29
RNFT2	8	10	3	4	2
FBXW8	576	548	554	474	498
LOC101928244	0	0	0	0	0
RFC5	206	218	174	147	203
PEBP1	2843	2849	3340	2826	3037
SUDS3	1007	915	830	667	827
SRRM4	0	0	0	0	0
HSPB8	687	613	655	484	677
CCDC60	0	0	0	1	1
TMEM233	19	10	16	17	24
PRKAB1	754	786	728	665	707
CCDC64	1	2	0	0	0
PXN-AS1	644	722	617	625	591
SIRT4	12	20	18	18	12
COX6A1	1787	1716	2406	2029	2184
GATC	1743	1881	1944	1585	1988
DYNLL1	3246	3220	3869	3185	3814
RNF10	3686	3538	4535	3852	4282
CABP1	1	0	0	1	0
MLEC	2826	2998	3540	2834	3357
UNC119B	1027	1057	1255	1072	1109
MIR4700	0	0	0	0	0
ACADS	151	188	264	233	256
HNF1A	27	31	29	31	25
P2RX7	458	459	614	565	652
P2RX4	2122	2225	3569	3122	3478
RNF34	906	913	917	733	879
ORAI1	572	504	568	505	527
TMEM120B	744	773	898	847	980
SETD1B	769	731	808	755	809
PSMD9	800	832	1119	959	1029
WDR66	130	139	144	106	122
BCL7A	292	322	525	429	484
MLXIP	2318	2267	2711	2356	2574
LRRC43	34	27	30	38	39
B3GNT4	1	2	0	1	1
LOC101593348	4	2	1	3	1
CLIP1-AS1	2	1	0	0	1
KNTC1	641	651	147	127	157
DENR	1915	1921	1406	1097	1393
CCDC62	11	13	5	3	6
HIP1R	2382	2450	2163	2178	2093
OGFOD2	170	181	182	160	166
ARL6IP4	0	0	0	0	0
LOC100507091	1	3	0	0	1
C12orf65	223	246	222	221	221
SETD8	1030	969	1019	873	971
SNRNP35	279	278	329	235	284
MIR3908	0	0	0	0	0
TMED2	5359	5110	5516	4489	5358
DDX55	423	409	277	241	299
GTF2H3	437	441	391	279	345
TCTN2	257	284	314	271	285
ATP6V0A2	480	535	497	452	486
DNAH10	9	10	7	12	7
ZNF664	2038	1871	1566	1261	1567
ZNF664-FAM101A	0	0	0	0	0
FAM101A	0	0	0	0	0
MIR5188	0	1	0	1	1
BRI3BP	50	54	58	50	54
AACS	666	735	796	729	811
TMEM132B	2	5	4	5	4
LOC101927464	0	0	0	0	0
LOC100128554	0	0	0	0	0
LINC00943	0	0	0	0	0
FLJ37505	0	0	0	0	0
LINC00507	1	2	0	0	0
LOC101927694	0	0	0	0	0
TMEM132C	0	0	0	0	0
MIR3612	0	0	0	0	0
GLT1D1	0	0	0	0	0
LOC283352	0	0	0	0	0
LOC101927735	0	0	0	0	0
FZD10	0	0	0	0	0
PIWIL1	0	0	0	0	0
RAN	6782	7048	8010	6809	7813
GPR133	0	0	0	0	0
LINC01257	0	0	0	0	0
LOC338797	0	0	0	0	0
SFSWAP	748	671	540	503	535
MMP17	157	159	237	212	194
ULK1	1184	1124	1415	1337	1402
PUS1	331	338	393	395	344
EP400	2028	1924	2297	2043	2158
SNORA49	0	0	0	0	0
EP400NL	76	91	34	39	47
NOC4L	208	214	274	246	263
LOC100130238	1	0	0	0	1
LOC101928416	0	0	0	0	0
FBRSL1	629	648	586	601	554
MIR6763	1	0	0	1	1
P2RX2	0	0	0	0	0
PXMP2	118	112	139	153	153
PGAM5	756	762	869	838	866
LOC101928530	1	1	3	1	1
ZNF26	0	0	0	0	0
ZNF84	0	1	0	1	2
ZNF140	330	322	320	290	360
ZNF10	88	87	21	27	19
ZNF268	359	331	78	76	97
LOC574538	0	1	0	0	0
SLC6A12	1	0	0	1	1
SLC6A13	1	4	0	0	2
LOC102723544	0	0	0	0	0
KDM5A	1526	1519	1116	889	1076
NINJ2	6	15	12	6	6
RAD52	109	121	73	46	67
FBXL14	132	145	180	184	178
MIR3649	0	0	0	0	0
CACNA2D4	20	26	31	32	27
LINC00940	0	0	0	0	0
DCP1B	298	313	269	222	266
CACNA1C-AS4	0	0	0	0	0
CACNA1C-AS2	1	1	2	1	0
CACNA1C-AS1	0	0	2	2	1
LOC283440	2	3	0	1	0
NRIP2	37	41	13	10	15
FOXM1	1528	1463	1599	1352	1609
EFCAB4B	191	229	255	184	208
PARP11	177	157	116	103	125
FGF23	0	0	0	0	0
FGF6	0	0	0	0	0
C12orf4	385	337	131	111	147
AKAP3	7	7	7	7	6
LOC101929549	3	2	0	0	1
LOC101929584	0	0	0	0	0
ANO2	190	183	66	64	79
VWF	112897	119875	167753	153565	160673
TNFRSF1A	2757	2617	4222	3624	4004
SCNN1A	9	3	2	1	2
CD27-AS1	109	109	75	67	91
VAMP1	171	140	73	46	63
MRPL51	1252	1267	1262	971	1200
IFFO1	856	845	603	579	585
NOP2	935	892	940	799	901
CHD4	6873	6661	8795	7431	8208
SCARNA11	1	0	0	0	0
LPAR5	7	2	2	1	4
ACRBP	3	4	4	1	2
ING4	341	360	274	247	264
ZNF384	960	959	936	813	834
PIANP	0	0	0	0	0
MLF2	2021	2003	2532	2319	2435
CDCA3	268	276	230	214	240
SPSB2	50	52	48	45	44
PHB2	2496	2352	3095	2606	2842
SCARNA12	22	19	12	9	12
LPCAT3	533	554	691	530	677
C1R	82	90	135	109	123
C1RL	616	526	650	532	592
RBP5	24	28	7	11	13
CD163L1	559	598	412	329	398
CD163	0	0	0	0	0
APOBEC1	0	0	0	0	0
GDF3	23	24	12	15	18
CLEC4C	0	0	0	0	0
SLC2A14	0	1	0	0	0
SLC2A3	894	906	993	797	951
C3AR1	2	1	1	0	2
POU5F1P3	0	2	0	1	1
FAM90A1	4	1	5	3	0
FAM86FP	13	14	14	9	6
LINC00937	0	1	0	0	1
CLEC4E	0	0	0	0	0
AICDA	0	0	0	0	0
MFAP5	6	5	0	5	5
M6PR	2728	2605	3013	2478	2914
LINC00612	1	0	0	1	0
A2M	1166	1145	1423	1242	1489
PZP	22	19	1	0	2
A2MP1	0	1	0	0	0
MIR1244-1	0	1	0	0	0
LOC101928030	0	0	0	0	0
DDX12P	81	82	28	14	18
KLRB1	0	1	0	0	0
CLECL1	1	0	0	0	0
CD69	371	401	415	373	461
CLEC2B	1732	1578	1559	1302	1601
CLEC2A	0	0	0	0	0
LOC100506159	0	0	0	0	0
CLEC1B	0	0	0	0	1
LOC102724020	2	5	2	1	2
CLEC1A	440	427	545	430	529
CLEC7A	5	3	1	2	4
OLR1	0	0	0	0	0
KLRK1	0	0	0	0	0
KLRC4-KLRK1	0	0	0	0	0
KLRC4	0	0	0	0	0
KLRC3	0	0	0	0	0
KLRC2	0	1	0	0	0
KLRC1	0	0	0	0	0
KLRAP1	41	31	3	1	2
MAGOHB	172	200	137	108	120
STYK1	184	219	114	95	103
YBX3	4333	4291	5038	4504	4835
TAS2R7	0	0	0	0	0
TAS2R8	0	0	0	0	0
TAS2R9	0	0	0	0	0
TAS2R10	1	0	0	0	0
PRR4	1	0	0	0	0
PRH1-PRR4	1	0	0	0	0
PRH1	0	0	0	0	0
TAS2R13	1	0	0	0	0
TAS2R14	7	4	3	2	1
TAS2R50	1	2	0	0	0
TAS2R20	15	14	6	3	8
TAS2R19	2	3	0	1	1
TAS2R31	1	1	0	0	0
TAS2R46	0	1	0	0	0
TAS2R43	0	0	0	0	0
TAS2R30	0	0	0	0	0
TAS2R42	0	0	0	0	0
PRB3	1	2	3	1	0
PRB4	0	0	0	1	0
PRB1	0	0	0	0	0
PRB2	0	0	0	0	0
RNU6-19P	1	0	0	0	0
LRP6	1073	1168	553	486	583
MANSC1	1213	1212	1146	928	1097
LOH12CR2	9	8	2	4	4
DUSP16	619	576	958	756	906
GPR19	4	4	0	2	0
GPRC5D	20	11	6	4	4
HEBP1	587	631	641	602	581
GSG1	0	1	1	0	3
C12orf36	0	0	0	0	0
GRIN2B	1	3	0	0	0
PLBD1	1	4	0	2	2
GUCY2C	0	0	0	0	1
HIST4H4	1	0	3	0	0
WBP11	1731	1607	1739	1419	1735
SMCO3	4	7	3	2	5
ART4	134	138	163	130	131
MGP	650	685	858	719	853
ERP27	16	7	2	7	5
ARHGDIB	7623	7416	8245	6922	8024
RERG	0	0	0	0	0
EPS8	309	321	143	111	160
SLC15A5	0	0	0	0	0
LMO3	1	5	0	0	0
RERGL	0	0	0	0	0
PLCZ1	0	0	0	1	0
SLCO1A2	0	0	0	0	0
RECQL	1911	1826	581	494	607
GYS2	1	2	0	0	0
LDHB	7148	7192	6174	5371	6148
KCNJ8	1	0	0	0	0
ABCC9	327	352	97	91	92
ST8SIA1	0	1	1	0	0
C2CD5	496	482	138	111	152
SOX5	1	2	0	1	2
LINC00477	0	0	0	0	0
BCAT1	6171	6143	2851	2335	2865
C12orf77	0	0	0	0	0
CASC1	1	0	0	0	0
KRAS	1069	1064	609	459	578
IFLTD1	0	0	0	0	0
MIR4302	0	0	0	0	0
RASSF8-AS1	42	35	29	35	33
BHLHE41	83	77	137	127	156
ITPR2	1586	1595	539	457	573
ASUN	648	651	352	259	312
TM7SF3	1639	1756	1659	1406	1651
C12orf71	0	0	0	0	0
ARNTL2-AS1	78	95	85	81	69
MANSC4	5	9	1	2	0
PTHLH	8	12	13	4	11
LOC100506606	85	96	88	83	83
ERGIC2	614	576	267	202	269
OVCH1	0	0	0	0	0
TMTC1	82	63	73	65	58
IPO8	1189	1198	723	624	739
CAPRIN2	559	584	222	168	210
DDX11-AS1	4	3	0	2	1
FAM60A	1177	1146	1423	1153	1459
DENND5B	644	649	272	220	281
AMN1	186	157	144	94	105
H3F3C	0	0	0	2	0
RNU6-78P	9	8	4	0	3
YARS2	631	664	803	657	757
PKP2	379	368	348	290	305
SYT10	0	0	0	0	0
CPNE8	436	469	205	179	225
KIF21A	324	287	125	92	105
ABCD2	0	0	0	0	0
SLC2A13	91	90	36	41	31
GXYLT1	974	978	360	305	332
YAF2	197	263	193	159	187
ZCRB1	697	644	432	376	407
PRICKLE1	1243	1274	697	533	635
LOC101927058	0	0	0	0	0
ADAMTS20	0	0	0	0	0
PUS7L	203	213	41	34	48
TWF1	2159	2198	881	687	854
NELL2	1	0	1	2	0
DBX2	0	0	0	0	0
RACGAP1P	0	0	0	0	0
PLEKHA8P1	67	69	72	89	68
RNY5	0	0	0	0	0
LINC00938	109	111	84	84	99
SCAF11	2129	2091	502	413	470
SLC38A1	6928	7030	4599	3699	4460
SLC38A2	12285	12286	6050	4739	6029
SLC38A4	4	6	4	1	0
AMIGO2	415	405	186	183	191
PCED1B-AS1	2	3	1	1	0
RPAP3	546	513	182	145	183
ENDOU	2	1	1	0	0
RAPGEF3	735	786	726	690	644
HDAC7	3873	3975	4839	4409	4447
VDR	13	13	18	16	17
COL2A1	3	0	1	1	0
SENP1	399	386	282	231	280
ASB8	426	426	462	357	470
OR10AD1	0	0	0	0	0
ZNF641	20	12	16	13	22
LALBA	0	0	0	0	0
KANSL2	291	302	319	242	327
SNORA34	0	0	0	0	1
MIR1291	0	0	0	0	0
SNORA2A	4	0	0	0	0
SNORA2B	1	1	0	0	0
CCNT1	768	774	496	404	515
ADCY6	1712	1767	1935	1756	1853
MIR4701	2	2	0	1	1
DDX23	2631	2613	2779	2495	2797
RND1	322	285	1453	1294	1407
FKBP11	542	545	545	494	605
ARF3	5534	5643	8231	6875	7785
WNT10B	3	0	3	1	2
DDN	4	4	3	2	2
PRKAG1	868	797	907	779	939
KMT2D	4162	4266	4782	4352	4660
RHEBL1	57	60	89	76	75
DHH	13	15	10	12	13
LMBR1L	1514	1653	2040	1824	2039
TUBA1B	20212	19486	26423	21705	23875
TUBA1A	22274	20315	27104	23936	26693
LOC101927267	23	24	31	22	23
C1QL4	0	0	0	1	0
MCRS1	932	902	1239	1079	1156
FAM186B	6	15	3	8	5
FMNL3	4450	4580	6274	5412	6093
NCKAP5L	1306	1310	1508	1380	1441
BCDIN3D	97	101	106	71	95
FAIM2	1	1	0	1	0
LOC283332	0	0	0	0	0
LOC101927318	0	0	0	0	0
